Date,Adj Close,Close,High,Low,Open,Volume,Predicted_Close
2002-08-12,25.82840729,39.70000076,40.0,38.72499847,38.72499847,212976,39.16249847
2002-08-13,25.4787178,39.16249847,40.38750076,38.875,39.75,153576,36.46250153
2002-08-14,23.72211838,36.46250153,39.25,35.72499847,39.25,822776,36.46250153
2002-08-15,23.72211838,36.46250153,36.46250153,36.46250153,36.46250153,0,36.375
2002-08-16,23.66519547,36.375,38.0,35.75,36.27500153,811856,35.47499847
2002-08-19,23.07966423,35.47499847,36.67499924,35.13750076,36.67499924,205880,36.46250153
2002-08-20,23.72211838,36.46250153,38.72499847,35.48749924,35.72499847,3773624,38.25
2002-08-21,24.8850441,38.25,39.20000076,36.52500153,38.47499847,3011064,39.90000153
2002-08-22,25.95852661,39.90000153,41.57500076,39.3125,39.51250076,6732480,42.29999924
2002-08-23,27.51993561,42.29999924,43.625,39.76250076,40.25,4841672,42.15000153
2002-08-26,27.42233467,42.15000153,43.25,41.8125,42.97499847,2576912,41.09999847
2002-08-27,26.73922157,41.09999847,44.25,40.75,42.5,3694224,41.13750076
2002-08-28,26.76362419,41.13750076,41.59999847,40.28749847,40.97499847,1674960,41.13750076
2002-08-29,26.76362419,41.13750076,41.875,40.75,40.88750076,1236544,44.04999924
2002-08-30,28.65846252,44.04999924,45.125,41.25,41.26250076,3762384,44.5
2002-09-02,28.95123672,44.5,45.97499847,44.04999924,44.75,2389568,42.41249847
2002-09-03,27.59312248,42.41249847,44.9375,42.0,44.75,986784,43.33750153
2002-09-04,28.19491959,43.33750153,43.75,41.38750076,41.875,1449856,43.07500076
2002-09-05,28.02414322,43.07500076,44.86249924,42.5,44.66249847,1061360,41.47499847
2002-09-06,26.98319817,41.47499847,43.25,41.01250076,43.25,907472,40.9375
2002-09-09,26.63350677,40.9375,42.6875,39.5,39.5,880848,40.9375
2002-09-10,26.63350677,40.9375,40.9375,40.9375,40.9375,0,41.97499847
2002-09-11,27.30849648,41.97499847,42.70000076,41.16249847,41.16249847,635936,42.1875
2002-09-12,27.4467411,42.1875,43.22499847,41.90000153,42.48749924,781968,40.98749924
2002-09-13,26.66602135,40.98749924,42.22499847,40.63750076,40.71250153,338264,40.1875
2002-09-16,26.14555168,40.1875,41.59999847,39.875,41.375,288592,41.36249924
2002-09-17,26.91000175,41.36249924,41.625,40.77500153,40.91249847,462952,40.08750153
2002-09-18,26.08052063,40.08750153,41.25,39.75,41.125,315432,39.75
2002-09-19,25.86093521,39.75,41.07500076,39.25,39.75,490848,39.09999847
2002-09-20,25.43804169,39.09999847,39.67499924,38.16249847,38.32500076,501072,38.4375
2002-09-23,25.00702858,38.4375,39.47499847,38.27500153,39.375,248504,37.13750076
2002-09-24,24.16126251,37.13750076,38.29999924,36.72499847,38.29999924,267912,37.42499924
2002-09-25,24.34831619,37.42499924,37.75,36.0,36.27500153,379544,38.01250076
2002-09-26,24.73054123,38.01250076,38.61249924,37.75,38.20000076,178136,38.47499847
2002-09-27,25.03142929,38.47499847,39.0,37.88750076,37.88750076,206288,37.07500076
2002-09-30,24.12060547,37.07500076,38.47499847,36.27500153,37.88750076,202232,36.76250076
2002-10-01,23.91729164,36.76250076,37.75,36.125,37.25,240192,36.76250076
2002-10-02,23.91729164,36.76250076,36.76250076,36.76250076,36.76250076,0,37.75
2002-10-03,24.55975342,37.75,39.75,37.25,37.25,673264,37.51250076
2002-10-04,24.40523148,37.51250076,38.36249924,37.125,38.25,258296,37.34999847
2002-10-07,24.29951096,37.34999847,38.0,37.02500153,37.76250076,110976,38.36249924
2002-10-08,24.95825195,38.36249924,38.72499847,37.25,37.46250153,227352,37.38750076
2002-10-09,24.32391548,37.38750076,39.11249924,37.0625,38.5,277040,37.42499924
2002-10-10,24.34831619,37.42499924,38.5,36.63750076,38.5,173224,38.21250153
2002-10-11,24.86064148,38.21250153,38.9375,38.11249924,38.47499847,192536,37.9375
2002-10-14,24.68173981,37.9375,39.0,37.57500076,38.92499924,152744,37.9375
2002-10-15,24.68173981,37.9375,37.9375,37.9375,37.9375,0,38.01250076
2002-10-16,24.73054123,38.01250076,42.77500153,37.77500153,42.77500153,247760,38.01250076
2002-10-17,24.73054123,38.01250076,38.25,37.52500153,38.25,144512,38.8125
2002-10-18,25.25101089,38.8125,39.92499924,38.28749847,38.75,512312,39.41249847
2002-10-21,25.64134979,39.41249847,40.73749924,39.25,39.72499847,646296,37.98749924
2002-10-22,24.71426392,37.98749924,39.75,37.75,39.75,229384,37.8125
2002-10-23,24.60041046,37.8125,38.70000076,37.52500153,38.25,153320,37.15000153
2002-10-24,24.16939926,37.15000153,38.34999847,36.90000153,38.22499847,168744,36.38750076
2002-10-25,23.6733284,36.38750076,37.08750153,36.27500153,36.5,172296,35.84999847
2002-10-28,23.32363701,35.84999847,36.5,35.54999924,36.125,134504,36.16249847
2002-10-29,23.52693939,36.16249847,36.45000076,35.54999924,35.75,143024,36.77500153
2002-10-30,23.92542839,36.77500153,37.4375,36.25,36.5,164320,37.34999847
2002-10-31,24.29951096,37.34999847,37.5,36.79999924,37.0,118928,36.96250153
2002-11-01,24.04741287,36.96250153,38.15000153,36.76250076,37.52500153,108792,37.23749924
2002-11-04,24.22633553,37.23749924,37.5,36.95000076,37.5,56560,36.83750153
2002-11-05,23.96608925,36.83750153,37.32500076,36.59999847,36.88750076,70288,36.83750153
2002-11-06,23.96608925,36.83750153,36.83750153,36.83750153,36.83750153,0,37.97499847
2002-11-07,24.70614052,37.97499847,39.5,37.5,37.5,204880,37.3125
2002-11-08,24.2751236,37.3125,37.73749924,37.02500153,37.25,77664,36.75
2002-11-11,23.90916061,36.75,37.5,36.67499924,37.5,66568,36.9375
2002-11-12,24.03114891,36.9375,37.5,36.5,36.5,106864,36.625
2002-11-13,23.82783127,36.625,37.22499847,36.42499924,37.125,106264,37.125
2002-11-14,24.1531353,37.125,37.90000153,36.63750076,37.20000076,211856,37.92499924
2002-11-15,24.67360878,37.92499924,38.16249847,37.5,37.95000076,154144,38.3125
2002-11-18,24.92572021,38.3125,38.73749924,37.83750153,38.25,217672,38.3125
2002-11-19,24.92572021,38.3125,38.3125,38.3125,38.3125,0,39.57500076
2002-11-20,25.74708176,39.57500076,39.875,38.25,38.25,406128,43.0
2002-11-21,27.97536469,43.0,44.72499847,40.3125,40.3125,2664024,42.33750153
2002-11-22,27.54433441,42.33750153,45.17499924,41.38750076,41.38750076,1184016,42.26250076
2002-11-25,27.49554253,42.26250076,43.20000076,41.75,42.75,428920,42.01250076
2002-11-26,27.33289146,42.01250076,43.45000076,41.77500153,42.625,367496,41.125
2002-11-27,26.75549126,41.125,42.75,40.88750076,42.75,301128,42.79999924
2002-11-28,27.84523964,42.79999924,43.72499847,41.51250076,41.52500153,447680,42.79999924
2002-11-29,27.84523964,42.79999924,42.79999924,42.79999924,42.79999924,0,47.38750076
2002-12-02,30.82981682,47.38750076,49.0,44.47499847,44.875,1388680,50.09999847
2002-12-03,32.59454346,50.09999847,52.42499924,46.77500153,48.5,4082608,48.42499924
2002-12-04,31.5048008,48.42499924,51.1875,47.76250076,49.22499847,2594928,49.65000153
2002-12-05,32.30177689,49.65000153,51.11249924,48.125,48.125,1720264,50.95000076
2002-12-06,33.14754486,50.95000076,51.67499924,49.63750076,50.5,1139968,48.5
2002-12-09,31.55359077,48.5,51.72499847,48.02500153,50.75,975768,49.61249924
2002-12-10,32.27735901,49.61249924,50.5,47.27500153,47.625,837808,51.95000076
2002-12-11,33.79812241,51.95000076,53.98749924,50.75,51.0,3286400,52.375
2002-12-12,34.07463074,52.375,54.0,52.0,52.0,2568024,52.58750153
2002-12-13,34.21287537,52.58750153,53.67499924,52.27500153,53.0,1112288,50.32500076
2002-12-16,32.74092102,50.32500076,53.67499924,50.02500153,53.25,1231456,49.40000153
2002-12-17,32.13911438,49.40000153,51.27500153,48.90000153,51.27500153,855656,48.9375
2002-12-18,31.83823204,48.9375,50.72499847,48.59999847,49.95000076,618096,53.07500076
2002-12-19,34.530056,53.07500076,54.375,49.375,49.92499924,3770256,53.51250076
2002-12-20,34.8146553,53.51250076,54.95000076,52.5,53.75,2952072,51.61249924
2002-12-23,33.57855225,51.61249924,53.76250076,51.25,53.75,1277744,53.73749924
2002-12-24,34.96105576,53.73749924,54.0,51.5625,51.75,1729840,53.73749924
2002-12-25,34.96105576,53.73749924,53.73749924,53.73749924,53.73749924,0,55.26250076
2002-12-26,35.95321655,55.26250076,55.95000076,53.25,54.15000153,2894448,54.01250076
2002-12-27,35.13996887,54.01250076,55.875,53.78749847,55.65000153,956984,57.15000153
2002-12-30,37.18118286,57.15000153,57.72499847,52.76250076,54.0,4253744,60.11249924
2002-12-31,39.10856247,60.11249924,61.08750153,56.0,57.52500153,9998480,61.08750153
2003-01-01,39.74289703,61.08750153,61.97499847,59.98749924,59.98749924,6027072,58.29999924
2003-01-02,37.92937088,58.29999924,62.92499924,57.91249847,61.52500153,5325328,59.01250076
2003-01-03,38.39291763,59.01250076,61.04999924,58.5,60.0,4198040,57.26250076
2003-01-06,37.25438309,57.26250076,60.1875,56.875,59.92499924,4121520,56.59999847
2003-01-07,36.82336807,56.59999847,58.5,56.0625,58.0,2650800,58.625
2003-01-08,38.14081192,58.625,59.15000153,56.92499924,57.34999847,2648456,59.20000076
2003-01-09,38.51489639,59.20000076,60.15000153,58.45000076,59.0,2630400,55.57500076
2003-01-10,36.15652084,55.57500076,60.0,55.26250076,60.0,1702816,56.13750076
2003-01-13,36.52246475,56.13750076,56.75,54.25,56.22499847,2421496,56.88750076
2003-01-14,37.01041412,56.88750076,58.625,56.5,56.72499847,2239360,58.02500153
2003-01-15,37.75045395,58.02500153,58.625,57.02500153,57.34999847,2759760,58.84999847
2003-01-16,38.28720093,58.84999847,60.20000076,57.52500153,58.46250153,2842656,57.52500153
2003-01-17,37.42516327,57.52500153,59.0,57.27500153,58.125,1284144,55.6875
2003-01-20,36.22970963,55.6875,57.47499847,55.27500153,57.25,928872,54.23749924
2003-01-21,35.28635406,54.23749924,56.5625,54.0,55.76250076,1147240,54.47499847
2003-01-22,35.44086456,54.47499847,55.75,54.07500076,54.70000076,1081352,52.47499847
2003-01-23,34.13967514,52.47499847,54.47499847,51.77500153,53.75,1001872,50.59999847
2003-01-24,32.91982651,50.59999847,53.47499847,49.88750076,52.625,1436848,47.07500076
2003-01-27,30.62648964,47.07500076,49.97499847,46.27500153,48.0,916832,50.36249924
2003-01-28,32.76532364,50.36249924,50.75,46.25,48.13750076,2043224,48.9375
2003-01-29,31.83823204,48.9375,51.25,48.54999924,50.52500153,1370440,49.6875
2003-01-30,32.32616425,49.6875,51.09999847,48.77500153,48.77500153,1203464,48.48749924
2003-01-31,31.5454731,48.48749924,50.11249924,48.17499924,48.75,1083040,52.1875
2003-02-03,33.95264435,52.1875,52.47499847,48.625,48.8125,1566808,50.54999924
2003-02-04,32.88728714,50.54999924,53.47499847,50.01250076,52.25,1311144,49.61249924
2003-02-05,32.27735901,49.61249924,50.5,48.83750153,49.75,845080,50.61249924
2003-02-06,32.92796326,50.61249924,50.90000153,49.125,49.6875,946624,50.125
2003-02-07,32.61079025,50.125,51.91249847,49.5625,50.13750076,1023440,48.46250153
2003-02-10,31.52919769,48.46250153,50.22499847,48.29999924,49.5,449688,48.02500153
2003-02-11,31.24455261,48.02500153,49.73749924,47.75,48.5,701960,47.38750076
2003-02-12,30.82981682,47.38750076,48.75,47.02500153,48.52500153,459064,47.38750076
2003-02-13,30.82981682,47.38750076,47.38750076,47.38750076,47.38750076,0,44.98749924
2003-02-14,29.26839828,44.98749924,47.84999847,44.5625,45.63750076,790336,47.84999847
2003-02-17,31.13071442,47.84999847,48.0,45.78749847,46.25,795272,47.5625
2003-02-18,30.94366264,47.5625,49.0,47.32500076,48.59999847,819688,47.58750153
2003-02-19,30.95991325,47.58750153,48.46250153,47.41249847,48.25,455960,47.4375
2003-02-20,30.86234283,47.4375,47.73749924,45.82500076,46.40000153,542944,46.61249924
2003-02-21,30.32560158,46.61249924,47.95000076,46.42499924,47.5,494544,46.90000153
2003-02-24,30.51266098,46.90000153,47.73749924,46.5,47.73749924,326488,45.79999924
2003-02-25,29.7970047,45.79999924,47.0,45.38750076,45.38750076,264440,45.0
2003-02-26,29.27653503,45.0,46.95000076,44.65000153,46.27500153,422312,45.6875
2003-02-27,29.7238121,45.6875,46.45000076,44.70000076,44.75,280480,48.04999924
2003-02-28,31.26080894,48.04999924,48.5,46.04999924,47.38750076,694688,47.52500153
2003-03-03,30.9192791,47.52500153,48.98749924,46.27500153,46.27500153,500896,46.33750153
2003-03-04,30.14669037,46.33750153,47.0,46.0,47.0,255760,46.52500153
2003-03-05,30.26868629,46.52500153,47.0,44.9375,45.82500076,471552,45.26250076
2003-03-06,29.44730759,45.26250076,46.90000153,45.0,46.90000153,265080,44.0
2003-03-07,28.6259346,44.0,45.97499847,43.8125,45.97499847,518664,41.02500153
2003-03-10,26.69044304,41.02500153,44.25,40.375,43.83750153,346400,42.01250076
2003-03-11,27.33289146,42.01250076,43.45000076,39.57500076,40.0,497168,41.38750076
2003-03-12,26.92626762,41.38750076,43.17499924,41.20000076,43.17499924,481872,41.92499924
2003-03-13,27.27597427,41.92499924,42.72499847,41.0,42.21250153,390112,41.92499924
2003-03-14,27.27597427,41.92499924,41.92499924,41.92499924,41.92499924,0,41.79999924
2003-03-17,27.19464302,41.79999924,43.0,40.27500153,40.77500153,373856,41.79999924
2003-03-18,27.19464302,41.79999924,41.79999924,41.79999924,41.79999924,0,41.71250153
2003-03-19,27.13771629,41.71250153,43.25,41.3125,42.875,374256,42.72499847
2003-03-20,27.79643631,42.72499847,43.0,41.0,41.875,537616,42.72499847
2003-03-21,27.79643631,42.72499847,42.72499847,42.72499847,42.72499847,0,41.58750153
2003-03-24,27.05638504,41.58750153,43.75,41.25,43.375,328920,40.98749924
2003-03-25,26.66602135,40.98749924,42.47499847,40.125,42.47499847,351496,40.79999924
2003-03-26,26.54406357,40.79999924,42.25,40.125,42.25,260264,40.41249847
2003-03-27,26.29195213,40.41249847,41.0,40.0,40.47499847,241056,40.17499924
2003-03-28,26.1374321,40.17499924,41.5,40.0,41.5,218000,38.38750076
2003-03-31,24.97450066,38.38750076,39.71250153,32.47499847,32.47499847,230712,38.38750076
2003-04-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-03,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-04,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-07,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-09,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-10,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-11,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-14,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-15,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-16,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-17,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-18,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-21,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-22,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-23,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-24,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-25,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-28,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-29,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-04-30,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-01,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-05,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-06,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-07,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-09,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-12,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-13,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-14,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-15,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-16,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-19,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-20,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-21,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-22,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-23,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-26,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-27,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-28,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-29,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-05-30,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-03,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-04,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-05,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-06,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-09,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-10,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-11,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-12,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-13,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-16,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-17,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-18,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-19,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-20,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-23,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-24,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-25,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-26,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-27,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-06-30,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-01,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-03,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-04,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-07,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-09,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-10,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-11,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-14,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-15,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-16,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-17,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-18,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-21,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-22,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-23,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-24,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-25,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-28,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-29,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-30,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-07-31,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-01,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-04,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-05,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-06,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-07,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-11,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-12,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-13,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-14,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-15,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-18,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-19,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-20,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-21,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-22,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-25,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-26,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-27,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-28,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-08-29,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-01,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-03,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-04,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-05,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-09,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-10,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-11,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-12,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-15,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-16,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-17,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-18,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-19,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-22,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-23,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-24,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-25,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-26,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-29,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-09-30,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-01,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-02,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-03,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-06,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-07,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
2003-10-08,24.97450066,38.38750076,38.38750076,38.38750076,38.38750076,0,38.38750076
